This file is part of Microsoft Research. Technical Report. MSR-TR-2013-84. © 2013 Microsoft Corporation. All rights reserved. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,Percentages,,,Rank,
QuestionID,Category,Question,Essential,Worthwhile,Unimportant,Unwise,Don't Know,Distribution,Essential,Worthwhile+,Unwise,Essential,Worthwhile+,Unwise
1,Bug measurement,What is the impact and/or cost of findings bugs at a certain stage in the development cycle?,50,52,11,3,1,,0.431,0.879,0.026,17,28,68
2,Bug measurement,What kinds of mistakes do developers make in their software?  Which ones are the most common? ,48,65,2,0,1,,0.417,0.983,0.000,19,3,130
3,Bug measurement,In what places in their software code do developers make the most mistakes? ,41,69,7,0,0,,0.350,0.940,0.000,41,10,130
4,Bug measurement,What kinds of mistakes are caught by static analysis?,24,59,24,2,4,,0.220,0.761,0.018,92,77,75
5,Bug measurement,How many new bugs are introduced for every bug that is fixed?,30,66,13,6,1,,0.261,0.835,0.052,75,50,24
6,Bug measurement,Is the number of bugs a good measure of developer effectiveness?,19,44,33,20,0,,0.164,0.543,0.172,122,136,5
7,Bug measurement,How can tool automation help find software design flaws?,42,56,16,0,0,,0.368,0.860,0.000,34,37,130
8,Development Best Practices,"What coding and design patterns are used most often, how much do they vary between teams?",20,56,37,3,0,,0.172,0.655,0.026,120,118,68
9,Development Best Practices,What development practices cause teams to miss their deadlines?,43,53,15,5,0,,0.371,0.828,0.043,32,51,28
10,Development Best Practices,When should we migrate our code from one version of a library to the next?,21,49,39,3,4,,0.188,0.625,0.027,116,125,59
11,Development Best Practices,What is the best way to track work items?,30,48,34,4,0,,0.259,0.672,0.034,76,113,48
12,Development Best Practices,What is the cost of leaving dead code around?,12,66,33,5,0,,0.103,0.672,0.043,138,113,28
13,Development Best Practices,What criteria should you use to choose a development environment?,14,47,46,6,1,,0.124,0.540,0.053,133,137,22
14,Development Best Practices,"What is the impact of coding guidelines on software quality, maintainability, and evolution?",36,58,20,1,0,,0.313,0.817,0.009,48,54,122
15,Development Best Practices,When should we use formal methods to create and/or analyze our software?,17,65,27,2,5,,0.153,0.739,0.018,127,88,78
16,Development Best Practices,"What criteria should we decide when to use managed code or native code (e.g., speed, productivity, functionality, newer language features, code quality)?",31,50,31,3,1,,0.270,0.704,0.026,71,107,65
17,Customers and requirements,What is the best way to collect customer feedback?,51,68,7,2,3,,0.398,0.930,0.016,26,13,101
18,Customers and requirements,What parts of a software product are most used and/or loved by customers?,95,35,2,0,0,,0.720,0.985,0.000,2,2,130
19,Customers and requirements,What are the best ways to change a product's features without losing customers?,60,60,8,2,1,,0.462,0.923,0.015,14,14,103
20,Customers and requirements,How much value do customers place on backward compatibility?,32,77,18,2,2,,0.248,0.845,0.016,81,47,102
21,Customers and requirements,What is the tradeoff between frequency and high-quality when releasing software?,33,72,23,2,2,,0.254,0.808,0.015,77,59,103
22,Customers and requirements,"What impact does testing-in-production have on the customer (e.g., usage, monetization of services)?",38,66,17,5,5,,0.302,0.825,0.040,56,52,33
23,Customers and requirements,"What are the tradeoffs that affect the value of specifications (e.g., level of detail, effort estimation accuracy, number of misunderstandings)?",30,61,30,5,6,,0.238,0.722,0.040,87,101,33
24,Customers and requirements,How much time and money does it cost to add customer input into your design?,21,69,31,11,0,,0.159,0.682,0.083,124,111,10
25,Customers and requirements,How important is a particular requirement?,53,58,13,3,5,,0.417,0.874,0.024,20,32,73
26,Development Practices,What are the tradeoffs to adding runtime telemetry to software?,20,77,16,1,6,,0.175,0.851,0.009,119,41,121
27,Development Practices,How do users typically use my application?,96,23,0,1,0,,0.800,0.992,0.008,1,1,128
28,Development Practices,What are the common patterns of execution in my application?,58,57,3,1,1,,0.487,0.966,0.008,9,5,127
29,Development Practices,How much legacy code is in my codebase?,14,55,46,4,0,,0.118,0.580,0.034,135,129,51
30,Development Practices,"What is the cost of keeping legacy code (e.g., app compat, testability, bugginess)?",26,70,23,1,0,,0.217,0.800,0.008,96,62,128
31,Development Practices,When in the development cycle should we test performance?,37,52,25,2,2,,0.319,0.767,0.017,47,76,99
32,Development Practices,When should we should stop trying to improve performance and ship?,30,60,22,2,4,,0.263,0.789,0.018,74,66,95
33,Development Practices,How effective is performance testing?,40,65,11,1,2,,0.342,0.897,0.009,44,22,125
34,Development Practices,When are code comments worth the effort to write them?,9,38,56,11,4,,0.079,0.412,0.096,141,143,9
35,Development Practices,"What is the best way to reduce the cost of application localization (e.g. time, number of employees, automation)?",18,68,29,0,4,,0.157,0.748,0.000,125,86,130
36,Development Practices,"What is the optimal number of employees (e.g. SDE, SDET, PM) to do a code review?",11,50,50,8,1,,0.092,0.513,0.067,139,140,18
37,Development Practices,How do we make code reviews take less time?,13,51,44,8,3,,0.112,0.552,0.069,136,135,17
38,Development Practices,How often does code review find important bugs?,23,70,22,4,1,,0.193,0.782,0.034,111,73,51
39,Development Practices,What is the best way to integrate code review with other software tools?,24,63,28,3,2,,0.203,0.737,0.025,104,92,72
40,Development Practices,What is the impact of a code change or requirements change to the project and tests?,61,49,7,0,1,,0.521,0.940,0.000,6,10,130
41,Development Practices,How does the size of a code change correlate with risk?,25,65,22,4,2,,0.216,0.776,0.034,97,74,48
42,Development Practices,What tools can help us measure and estimate the risk associated with code changes?,55,51,9,0,3,,0.478,0.922,0.000,11,15,130
43,Development Practices,How effective are particular tools and practices for debugging?,39,61,15,1,1,,0.336,0.862,0.009,45,35,123
44,Development Practices,How much debugging is needed per line of code?,7,39,59,8,4,,0.062,0.407,0.071,145,144,14
45,Development Practices,"Which metrics should we use to estimate how long it will take to develop a feature, and how good is each one?",43,54,15,2,3,,0.377,0.851,0.018,30,41,95
46,Development Practices,How frequently should I refactor my code?,14,57,35,8,3,,0.123,0.623,0.070,134,126,15
47,Development Practices,When should we refactor legacy code?,16,60,29,9,3,,0.140,0.667,0.079,131,116,12
48,Development Practices,"Which branching structure is most effective for our project (single branch, multple branches, hierarchical branches)?",32,48,31,2,2,,0.283,0.708,0.018,64,105,91
49,Development Practices,How much effort does it take to move code between branches?,22,50,39,3,3,,0.193,0.632,0.026,112,122,61
50,Development Practices,How effective are the quality gates we run at checkin?,73,40,3,1,0,,0.624,0.966,0.009,3,6,125
51,Development Practices,Where does writing documentation best fit into the software lifecycle?,24,52,35,3,1,,0.211,0.667,0.026,100,116,61
52,Development Practices,"What kind of documentation is most valuable to internal and/or external users (e.g., code comments, diagrams, prose)?",34,55,26,0,1,,0.296,0.774,0.000,59,75,130
53,Development Practices,What fraction of our documentation has bugs in it?,12,65,34,4,2,,0.104,0.670,0.035,137,115,47
54,Evaluating quality,What are best practices for avoiding bugs while writing code?,40,56,15,3,0,,0.351,0.842,0.026,38,49,61
55,Evaluating quality,"What tradeoffs should we consider when optimizing our code for performance, maintainability, and debuggability?",35,61,12,4,1,,0.313,0.857,0.036,49,38,41
56,Evaluating quality,"How do code churn, number of bugs, test case regressions, and development costs correlate with one another?",30,63,15,2,4,,0.273,0.845,0.018,69,45,76
57,Evaluating quality,How can we objectively measure software quality?,46,52,12,2,1,,0.411,0.875,0.018,23,31,85
58,Evaluating quality,What are causes of poor software quality (e.g. test case regressions)?,42,55,12,2,1,,0.378,0.874,0.018,29,33,78
59,Evaluating quality,What are effective metrics for ship quality?,54,55,2,2,0,,0.478,0.965,0.018,12,7,91
