classname ; CvsEntropy ; CvsWEntropy ; CvsLinEntropy ; CvsLogEntropy ; CvsExpEntropy ; 
org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder ; 10.9131 ; 0.00830197 ; 0.0147667 ; 0.253257 ; 0.00112474 ; 
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry ; 1.10349 ; 6.57459e-4 ; 0.00188573 ; 0.027116 ; 3.50878e-4 ; 
org::eclipse::jdt::internal::compiler::ast::ASTNode ; 37.8606 ; 0.228509 ; 0.10618 ; 1.0284 ; 0.210412 ; 
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding ; 5.86013 ; 0.00910478 ; 0.0101128 ; 0.14368 ; 0.0034853 ; 
org::eclipse::jdt::internal::eval::CodeSnippetParser ; 13.596 ; 0.0160054 ; 0.0257509 ; 0.338602 ; 0.0213775 ; 
org::eclipse::jdt::internal::formatter::Location ; 4.55853 ; 0.00199999 ; 0.00548106 ; 0.103103 ; 1.27393e-4 ; 
org::eclipse::jdt::core::dom::SingleMemberAnnotation ; 5.59671 ; 0.00395051 ; 0.149865 ; 8.07898 ; 0.23097 ; 
org::eclipse::jdt::internal::compiler::parser::NLSTag ; 4.98774 ; 0.00385486 ; 0.00788835 ; 0.120148 ; 0.0012199 ; 
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock ; 11.93 ; 0.0397218 ; 0.170703 ; 8.25875 ; 0.27893 ; 
org::eclipse::jdt::internal::core::CompilationUnitElementInfo ; 10.7711 ; 0.00781561 ; 0.131699 ; 8.15155 ; 0.169684 ; 
org::eclipse::jdt::core::dom::MemberRef ; 6.70304 ; 0.00381663 ; 0.152618 ; 8.10942 ; 0.231938 ; 
org::eclipse::jdt::internal::core::util::Annotation ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference ; 6.73444 ; 0.00389127 ; 0.132755 ; 8.07051 ; 0.197855 ; 
org::eclipse::jdt::internal::compiler::flow::LoopingFlowContext ; 10.0952 ; 0.0550803 ; 0.0225858 ; 0.262712 ; 0.0240387 ; 
org::eclipse::jdt::internal::core::util::KeyKind ; 10.4506 ; 0.0182484 ; 0.133647 ; 8.14963 ; 0.182548 ; 
org::eclipse::jdt::core::dom::ChildListPropertyDescriptor ; 6.70304 ; 0.00406141 ; 0.152618 ; 8.10942 ; 0.231938 ; 
org::eclipse::jdt::internal::compiler::ast::TypeDeclaration ; 37.7605 ; 0.264394 ; 0.222874 ; 8.91639 ; 0.371919 ; 
org::eclipse::jdt::core::dom::ASTRequestor ; 2.96868 ; 0.00114952 ; 0.0034669 ; 0.0667091 ; 6.29834e-5 ; 
org::eclipse::jdt::internal::core::search::AbstractJavaSearchScope ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::search::SearchPattern ; 28.279 ; 0.884194 ; 0.0785823 ; 0.764092 ; 0.165991 ; 
org::eclipse::jdt::core::jdom::DOMFactory ; 8.22982 ; 0.00609829 ; 0.154538 ; 8.14431 ; 0.231997 ; 
org::eclipse::jdt::internal::core::util::SignatureAttribute ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::core::BinaryMember ; 15.7424 ; 0.0310248 ; 0.149122 ; 8.29536 ; 0.216848 ; 
org::eclipse::jdt::internal::compiler::ast::MessageSend ; 30.738 ; 0.109581 ; 0.197734 ; 8.7181 ; 0.317602 ; 
org::eclipse::jdt::internal::core::XMLWriter ; 10.5335 ; 0.0340213 ; 0.0166018 ; 0.252483 ; 0.00498488 ; 
org::eclipse::jdt::internal::compiler::parser::JavadocParser ; 24.2321 ; 0.124182 ; 0.0943869 ; 0.704466 ; 0.193358 ; 
org::eclipse::jdt::internal::eval::CodeSnippetSingleNameReference ; 17.8868 ; 0.0596056 ; 0.184833 ; 8.41605 ; 0.337749 ; 
