"language","day","num_commits"
"Ruby","2014-06-26",1166068
"Ruby","2014-10-21",1022681
"Python","2014-11-11",881825
"Ruby","2014-10-15",823475
"Python","2014-11-18",790873
"Ruby","2014-12-10",787341
"Ruby","2014-06-02",742024
"Ruby","2014-10-22",738904
"Python","2014-03-11",710132
"Ruby","2014-11-13",706495
"Ruby","2014-07-03",687218
"Ruby","2014-06-18",686683
"Ruby","2014-06-04",681126
"Ruby","2014-03-20",677367
"Python","2014-07-16",673446
"Python","2014-04-03",672785
"Python","2014-04-02",662214
"Ruby","2014-03-19",658482
"Ruby","2014-10-01",656319
"Python","2014-03-12",655202
"Python","2014-01-30",654190
"Ruby","2014-03-17",651876
"Ruby","2014-03-14",642207
"Ruby","2014-03-13",641636
"Python","2014-04-24",639368
"Ruby","2014-09-26",636738
"Python","2014-03-06",635449
"Python","2014-03-21",630616
"Ruby","2015-01-04",628256
"Ruby","2014-10-20",624117
"Python","2014-03-04",623349
"Python","2014-04-08",622562
"Python","2014-03-26",616390
"Python","2014-06-19",616136
"Python","2014-04-16",614386
"Ruby","2014-03-28",612595
"Python","2014-06-18",610375
"Python","2014-04-07",610109
"Ruby","2014-05-08",609168
"Ruby","2014-04-02",609073
"Python","2014-06-06",608939
"Ruby","2014-03-18",608398
"Python","2013-09-06",603645
"Ruby","2014-12-20",597745
"Python","2014-04-30",596758
"Python","2013-07-25",596368
"Python","2014-03-05",594790
"Python","2014-04-15",590975
"Python","2014-04-11",590668
"Ruby","2014-05-09",587678
"Ruby","2014-06-17",587278
"Python","2014-08-08",587206
"Ruby","2014-05-20",586759
"Python","2014-04-23",586098
"Python","2014-11-10",585407
"Ruby","2014-05-01",585196
"Ruby","2014-05-14",584867
"Python","2014-07-10",584450
"Ruby","2014-03-25",582263
"Ruby","2014-10-23",579384
"Python","2014-02-07",578823
"Python","2014-04-09",578310
"Ruby","2014-09-23",577620
"Python","2014-01-29",577336
"Python","2014-01-23",576714
"Python","2014-02-24",576577
"Python","2014-03-18",574733
"Python","2014-06-25",573339
"Python","2014-02-12",572844
"Python","2014-04-29",572702
"Python","2014-03-27",570436
"Python","2014-03-13",567205
"Python","2014-07-14",565485
"Python","2014-12-02",564792
"Python","2014-03-28",564741
"Python","2014-02-27",564284
"Python","2014-03-19",562419
"Python","2014-04-04",561634
"Ruby","2014-04-01",560728
"Python","2014-06-05",559857
"Python","2014-04-14",559467
"Python","2014-04-22",559088
"Ruby","2014-05-21",558816
"Python","2014-07-15",558512
"Ruby","2014-12-04",557444
"Python","2013-07-24",557227
"Python","2014-03-24",556746
"Python","2014-02-25",556714
"Ruby","2015-01-31",556307
"Python","2014-07-01",555848
"Python","2014-03-03",555630
"Python","2014-05-21",554917
"Ruby","2014-02-25",554908
"Python","2014-05-16",554623
"Python","2014-03-20",553705
"Python","2013-06-27",553131
"Ruby","2014-05-23",553021
"Python","2013-10-15",552972
"Ruby","2014-08-22",552693
"Python","2014-03-25",551299
"Python","2014-08-07",550760
"Ruby","2014-05-13",550059
"Python","2014-08-05",549757
"Python","2014-03-10",549433
"Ruby","2014-12-18",548748
"Ruby","2014-12-17",548631
"Python","2014-11-26",548217
"Python","2014-02-13",548186
"Python","2014-11-25",545537
"Ruby","2014-06-09",544926
"Ruby","2014-05-30",544731
"Ruby","2014-05-12",544653
"Python","2014-01-22",544567
"Ruby","2014-05-06",542788
"Python","2014-06-17",542245
"Python","2014-05-27",541773
"Python","2014-01-16",539576
"Python","2014-02-20",539527
"Python","2014-02-06",538276
"Python","2014-09-29",537968
"Python","2014-07-17",537606
"Python","2013-10-16",536701
"Python","2013-09-23",535894
"Python","2014-02-18",535223
"Python","2014-03-07",535040
"Ruby","2014-07-29",534982
"Python","2014-07-25",534799
"Ruby","2015-01-06",533285
"Python","2014-02-05",532458
"Python","2014-04-17",532117
"Python","2014-11-20",531927
"Ruby","2014-04-22",531622
"Python","2013-10-14",531462
"Python","2014-12-04",531170
"Python","2014-11-23",530021
"Python","2014-08-04",528819
"Ruby","2014-12-15",528211
"Python","2014-03-31",527595
"Python","2014-01-24",527354
"Python","2014-12-03",526396
"Ruby","2014-04-09",525360
"Ruby","2014-03-07",525327
"Python","2013-08-21",524809
"Python","2014-06-12",523831
"Python","2014-04-25",522672
"Ruby","2014-06-10",521360
"Python","2014-02-26",521187
"Python","2014-06-03",519132
"Python","2014-02-19",518825
"Python","2014-07-28",518346
"Python","2013-10-08",517977
"Python","2013-08-22",517939
"Python","2014-04-10",517305
"Python","2014-06-10",517080
"Python","2013-07-09",516645
"Python","2014-07-02",516469
"Python","2013-08-08",516460
"Ruby","2014-04-24",515940
"Python","2014-04-28",514237
"Python","2014-01-15",512816
"Python","2014-07-24",512659
"Python","2014-04-01",512115
"Python","2014-06-20",510963
"Ruby","2014-02-26",510604
"Ruby","2014-06-11",510422
"Python","2013-07-22",510060
"Python","2014-04-18",510021
"Python","2015-01-08",508295
"Python","2013-12-17",508154
"Python","2013-11-19",508103
"Ruby","2014-05-07",507603
"Python","2013-10-18",507365
"Python","2014-03-14",507092
"Python","2013-07-23",506565
"Python","2014-06-23",506151
"Python","2013-11-15",505897
"Python","2013-11-14",505735
"Python","2013-09-04",505523
"Ruby","2015-01-17",505156
"Python","2013-12-11",504028
"Python","2014-05-28",503633
