"country","day","num_commits"
"us","2016-02-05",131780
"us","2016-03-10",125797
"us","2016-03-09",125539
"us","2016-02-10",125158
"us","2016-01-26",124835
"us","2016-02-17",124499
"us","2016-02-23",124264
"us","2016-03-04",123481
"us","2016-02-03",122961
"us","2016-02-16",122208
"us","2016-01-27",122003
"us","2016-01-29",121192
"us","2016-02-24",120955
"us","2016-02-02",120903
"us","2016-03-08",120545
"us","2016-02-25",119243
"us","2016-02-26",119145
"us","2016-02-09",119119
"us","2016-03-01",118237
"us","2016-02-18",118123
"us","2016-03-03",117901
"us","2016-02-11",116760
"us","2016-01-15",116067
"us","2016-02-19",115613
"us","2016-01-13",114690
"us","2016-03-07",114430
"us","2016-03-02",114356
"us","2016-04-28",113991
"us","2016-03-16",113987
"us","2016-01-21",113737
"us","2016-02-01",113707
"us","2016-03-23",113402
"us","2016-03-11",113375
"us","2016-03-22",112925
"us","2016-03-17",112881
"us","2016-03-15",112499
"us","2016-01-14",112308
"us","2016-03-30",112155
"us","2016-03-31",112043
"us","2016-04-06",112041
"us","2016-01-20",111631
"us","2016-02-22",111402
"us","2016-04-12",111353
"us","2016-01-28",111282
"us","2016-04-25",110810
"us","2016-01-06",110729
"us","2016-04-29",110639
"us","2016-04-07",110442
"us","2016-04-05",110412
"us","2016-03-29",109868
"us","2016-01-25",109841
"us","2016-02-04",109722
"us","2016-03-21",109673
"us","2016-04-26",109559
"us","2016-02-12",109513
"us","2016-01-12",109331
"us","2016-01-22",109301
"us","2016-04-27",109129
"us","2016-04-19",108845
"us","2016-01-07",108610
"us","2016-01-19",108511
"us","2016-03-24",108395
"us","2016-02-29",108272
"us","2016-04-14",107758
"us","2016-04-20",107730
"us","2016-03-18",107699
"us","2016-04-13",107203
"us","2016-01-08",106931
"us","2016-05-03",106697
"us","2016-04-21",105561
"us","2016-05-10",105411
"us","2016-03-14",105102
"us","2016-05-04",104387
"us","2016-04-01",104282
"us","2016-05-11",103561
"us","2016-04-08",103198
"us","2016-04-04",102893
"us","2016-05-05",102812
"us","2016-03-25",102644
"us","2016-04-11",102271
"us","2016-04-15",102216
"us","2016-04-22",101668
"ca","2016-02-04",101423
"us","2016-05-12",101398
"us","2016-03-28",101207
"us","2016-02-08",100708
"us","2016-05-24",100680
"us","2016-01-05",100126
"us","2016-04-18",99598
"us","2016-05-02",99049
"us","2016-01-11",98719
"us","2016-01-18",98525
"us","2016-05-18",98326
"us","2016-05-17",97935
"us","2016-05-19",97634
"us","2016-05-25",96790
"us","2016-05-13",96350
"us","2016-06-01",95820
"us","2016-05-26",95401
"us","2016-06-02",94011
"us","2016-05-06",93784
"us","2016-02-15",93391
"us","2016-08-25",93036
"us","2016-06-07",92906
"us","2016-05-16",92072
"us","2016-08-26",91380
"us","2016-05-31",91031
"us","2016-05-09",90796
"us","2016-06-08",90664
"us","2016-08-17",90618
"ca","2016-02-05",90579
"us","2016-06-03",90465
"us","2016-01-04",90153
"us","2016-08-30",89921
"us","2016-05-20",89244
"us","2016-08-31",89140
"us","2016-08-29",89084
"us","2016-08-18",88733
"us","2016-08-22",88725
"us","2016-06-09",88218
"us","2016-08-19",88113
"us","2016-08-04",87772
"us","2016-08-23",86396
"us","2016-09-01",86043
"us","2016-08-09",85566
"us","2016-08-24",85541
"us","2016-05-27",85350
"us","2016-08-10",84890
"us","2016-05-23",84647
"us","2016-03-05",84305
"us","2016-08-16",84112
"us","2016-06-06",83629
"us","2016-08-03",83018
"us","2016-08-05",81548
"us","2016-09-02",81385
"us","2016-08-08",81253
"us","2016-01-16",81051
"us","2016-06-10",80515
"ca","2016-02-12",79582
"us","2016-08-15",79195
"us","2016-01-31",78977
"ca","2016-02-07",78649
"us","2016-01-17",78312
"us","2016-01-23",77734
"us","2016-02-06",76950
"us","2016-02-21",76638
"us","2016-02-20",76243
"us","2016-01-30",76203
"us","2016-08-02",76156
"us","2016-07-19",75964
"us","2016-03-06",75455
"us","2016-07-26",75008
