ID;QLTY;PROD;GRA;UNI;SEQ;REF
1;77.27;0.07;0.87;0.29;0;45.45
2;58.71;0.21;31.07;3.26;50;50
3;85.42;0.32;1.66;1.78;28.12;6.25
4;84.52;0.34;1.05;0.91;8.62;50
5;45.91;0.17;7.3;6.4;20;26.66
6;77.95;0.37;8.02;8.36;0;44.44
7;82.14;0.36;3.87;4.35;33.33;33.33
8;49.43;0.09;13.73;19.24;0;14.28
9;67.69;0.14;3.22;1.95;11.76;52.94
10;47.73;0.04;4.75;5.66;33.33;33.33
11;69.64;0.35;1.75;1.14;11.11;22.22
12;67.26;0.7;1.48;1.79;6.66;20
13;0;0;4.69;5.8;16.66;50
14;69.64;0.46;5.51;6.44;0;0
15;64.77;0;6.61;7.98;0;12.5
16;100;0.78;2.35;2.25;46.15;7.69
17;100;0.86;3.73;2.78;10;20
18;100;0.33;10.83;11.92;66.66;0
19;86.36;0.09;2.88;3.78;60;40
20;77.27;0.11;3.3;4.25;7.69;23.07
21;89.58;0;6.68;5.24;33.33;11.11
22;100;0;2.47;2.27;22.22;22.22
23;89.58;0;2.63;1.89;77.77;7.4
24;83.66;0.78;4.2;3.68;44.44;11.11
25;90.91;0.59;12.45;15.24;33.33;33.33
26;54.92;0.86;5.06;5.12;42.85;7.14
27;90.37;0.15;5.33;5.35;57.14;14.28
28;61.46;0.05;6.93;7.83;50;33.33
29;72.58;0.67;3.49;1.6;46.15;15.38
30;76.21;0.33;1.51;1.36;50;0
31;81.67;0.54;1.11;0.92;26.92;3.84
32;82.96;0.72;1.65;1.6;31.42;22.85
33;83.33;0.62;12.67;7.19;33.33;0
34;72.58;0.09;8.78;8.79;50;0
35;66.67;0.63;2.2;0;0;0
36;50;0.07;3.06;1;25;37.5
37;66.67;0.01;6.78;2.57;46.66;33.33
38;72.04;0.04;1.53;1.2;32.35;32.25
39;57.79;0.65;1.54;1.06;12.5;37.5
40;88.89;0.45;10.63;6.76;25;25
41;66.67;0.2;3.73;4.52;11.76;52.94
42;75;0.14;4.36;4.62;20;40
43;64.44;0;3.03;2.92;16.66;66.66
44;85.97;0.35;3.95;3.95;48;32
45;75;0.63;5.33;2.84;33.33;13.33
46;70.68;0.07;3.49;4.57;25;25
47;50;0.45;1.51;15.29;12.5;25
48;78.33;0.05;11.51;11.06;25;25
49;87.88;0.05;2.39;1.85;36.36;18.18
50;87.88;0.71;3.65;3.37;50;0
51;50;0.57;2.17;2.33;75;8.33
52;33.48;0.8;7.54;8.99;21.42;71.42
53;42.2;0.07;48.87;38.98;16.66;33.33
54;63.59;0.08;5.11;5.61;54.54;9.09
55;66.84;0;8.83;33.5;43.75;18.75
56;64.41;0.09;9.18;3.87;36.36;27.27
57;46.72;0.14;4.82;4.63;42.85;28.57
58;46.72;0.07;2.35;2.55;23.8;28.57
59;35.27;0;45.98;31.14;0;0
60;48.61;0.09;3.95;2.82;0;50
61;48.61;0.04;96.03;0;0;0
62;48.61;0;10.7;10.05;31.25;31.25
63;65;0.05;9.23;7.42;33.33;26.66
64;85;0.13;16.87;14.63;50;33.33
65;76.67;0.09;2.56;2.43;28.57;35.71
66;67.59;0.06;35.7;51.32;50;0
67;57.78;0.08;2.73;2.46;0;65.21
68;51.59;0.07;24.72;11.47;0;33.33
69;42.98;0.08;2.27;2.44;36.36;13.63
70;47.61;0.09;2.95;2.91;28.57;35.71
71;30.2;0.12;27.53;33.5;80;0
72;61.5;0.15;16.96;21.44;50;0
73;45.93;0.07;3.76;3.87;83.33;16.66
74;53.1;0.2;8.87;9.37;38.46;15.38
75;52.6;0.12;3.64;3.81;61.11;0
76;53.53;0.05;6.06;7.43;50;16.66
77;42.95;0.13;19.7;21.27;66.66;0
78;39.24;0.04;9.04;7.67;33.33;16.66
79;60.94;0.1;6.64;6.17;60;30
80;100;0.02;5.07;3.17;87.5;0
81;38.14;0.07;33.26;14.32;33.33;0
82;55.95;0.18;9.54;10.62;42.85;21.42
