"num_projects","day"
14442,"2014-08-06"
14850,"2014-12-05"
37098,"2015-03-22"
13137,"2013-09-02"
8663,"2012-11-30"
12897,"2013-12-24"
15172,"2014-10-06"
17106,"2014-09-16"
11109,"2014-09-12"
10620,"2014-11-07"
14411,"2014-11-23"
2279,"2011-04-12"
29508,"2015-05-31"
14904,"2014-07-14"
9056,"2013-01-11"
21188,"2014-01-15"
15921,"2014-01-29"
15589,"2014-07-31"
4679,"2012-04-18"
32379,"2015-05-01"
30345,"2016-01-23"
21418,"2015-11-23"
14396,"2013-12-27"
16141,"2013-09-11"
9812,"2013-09-07"
4992,"2012-11-02"
1578,"2011-09-06"
1978,"2011-12-08"
1622,"2011-10-05"
6454,"2013-01-07"
5748,"2012-11-05"
4041,"2012-03-06"
3475,"2012-03-01"
2952,"2012-02-09"
1408,"2011-11-26"
1802,"2011-11-02"
1103,"2011-10-09"
1627,"2011-08-30"
9664,"2014-08-03"
5897,"2013-01-14"
29759,"2015-09-02"
10784,"2014-09-09"
13982,"2014-08-27"
13182,"2014-09-21"
13211,"2014-09-15"
35270,"2015-02-19"
29860,"2015-02-08"
35921,"2015-01-13"
9342,"2013-08-13"
44153,"2015-06-08"
43186,"2015-03-09"
1638,"2011-02-04"
6890,"2012-12-18"
2186,"2011-04-06"
572,"2010-01-29"
25693,"2014-04-08"
13673,"2014-04-20"
38551,"2015-10-19"
14000,"2014-08-04"
12797,"2013-05-27"
1267,"2010-09-28"
38396,"2015-10-29"
41191,"2015-06-23"
26796,"2015-08-21"
5206,"2012-06-28"
12197,"2014-09-20"
16458,"2014-03-15"
12630,"2015-07-18"
14462,"2013-06-20"
3260,"2012-10-21"
8919,"2013-01-18"
36712,"2015-12-02"
37157,"2015-12-15"
13316,"2013-12-26"
5570,"2012-06-19"
9328,"2012-11-08"
23164,"2014-01-21"
38922,"2015-11-19"
44583,"2015-06-17"
23076,"2014-04-07"
14115,"2015-07-12"
6739,"2015-07-04"
17554,"2013-10-10"
9632,"2013-09-01"
13345,"2013-07-18"
1845,"2011-02-24"
11327,"2013-12-28"
9797,"2014-06-08"
20189,"2014-10-21"
14551,"2013-07-26"
4567,"2012-04-17"
47315,"2015-04-21"
6103,"2012-09-23"
10154,"2014-06-14"
55917,"2015-01-21"
14495,"2014-05-22"
12069,"2014-05-18"
5222,"2012-10-30"
8368,"2013-06-30"
6339,"2013-01-15"
10751,"2013-02-08"
44788,"2015-03-20"
14731,"2014-01-27"
25682,"2015-02-14"
3962,"2012-05-28"
9977,"2013-07-13"
10139,"2013-07-14"
15669,"2013-07-15"
14101,"2013-06-28"
8411,"2014-11-09"
6864,"2014-05-17"
17824,"2014-05-19"
26109,"2015-10-17"
14593,"2014-07-08"
15373,"2014-08-19"
13399,"2014-10-25"
9026,"2013-09-17"
17032,"2013-10-14"
10960,"2013-04-12"
15558,"2014-08-13"
2173,"2011-07-22"
1670,"2011-06-26"
2334,"2011-05-10"
2115,"2011-04-14"
2124,"2011-04-05"
38673,"2015-01-06"
721,"2010-06-18"
2825,"2012-04-29"
4814,"2012-05-31"
1756,"2011-11-10"
15461,"2014-07-15"
14273,"2013-09-20"
1714,"2011-12-27"
2316,"2011-05-17"
1581,"2011-09-22"
1515,"2011-01-05"
1754,"2011-10-20"
1649,"2011-06-04"
14375,"2013-05-30"
4439,"2012-04-11"
46323,"2016-02-29"
9816,"2014-08-09"
21174,"2014-04-04"
10335,"2013-03-09"
750,"2010-08-21"
540,"2010-03-13"
14192,"2014-07-18"
4294,"2012-04-05"
17783,"2014-10-30"
28895,"2015-10-03"
651,"2010-08-15"
4102,"2012-03-30"
2081,"2011-12-21"
7677,"2012-08-06"
23819,"2015-09-27"
2133,"2011-03-31"
39459,"2015-03-12"
22689,"2014-04-22"
7430,"2013-04-06"
19760,"2014-01-30"
